2026-05-01 02:22:34,810 [MCA-SWEEP] INFO -   CT offset 454000: 2000 records, 0 new MCA leads
2026-05-01 02:22:37,588 [MCA-SWEEP] INFO -   CT offset 456000: 2000 records, 0 new MCA leads
2026-05-01 02:22:40,299 [MCA-SWEEP] INFO -   CT offset 458000: 2000 records, 0 new MCA leads
2026-05-01 02:22:42,233 [MCA-SWEEP] INFO -   CT offset 460000: 2000 records, 3 new MCA leads
2026-05-01 02:22:44,198 [MCA-SWEEP] INFO -   CT offset 462000: 2000 records, 9 new MCA leads
2026-05-01 02:22:46,472 [MCA-SWEEP] INFO -   CT offset 464000: 2000 records, 25 new MCA leads
2026-05-01 02:22:48,619 [MCA-SWEEP] INFO -   CT offset 466000: 2000 records, 0 new MCA leads
2026-05-01 02:22:50,453 [MCA-SWEEP] INFO -   CT offset 468000: 2000 records, 7 new MCA leads
2026-05-01 02:22:52,546 [MCA-SWEEP] INFO -   CT offset 470000: 2000 records, 7 new MCA leads
2026-05-01 02:22:54,053 [MCA-SWEEP] INFO -   CT offset 472000: 2000 records, 1 new MCA leads
2026-05-01 02:22:55,647 [MCA-SWEEP] INFO -   CT offset 474000: 2000 records, 1 new MCA leads
2026-05-01 02:22:57,505 [MCA-SWEEP] INFO -   CT offset 476000: 2000 records, 4 new MCA leads
2026-05-01 02:22:59,392 [MCA-SWEEP] INFO -   CT offset 478000: 2000 records, 7 new MCA leads
2026-05-01 02:23:01,507 [MCA-SWEEP] INFO -   CT offset 480000: 2000 records, 24 new MCA leads
2026-05-01 02:23:03,968 [MCA-SWEEP] INFO -   CT offset 482000: 2000 records, 13 new MCA leads
2026-05-01 02:23:06,170 [MCA-SWEEP] INFO -   CT offset 484000: 2000 records, 10 new MCA leads
2026-05-01 02:23:08,100 [MCA-SWEEP] INFO -   CT offset 486000: 2000 records, 12 new MCA leads
2026-05-01 02:23:10,096 [MCA-SWEEP] INFO -   CT offset 488000: 2000 records, 10 new MCA leads
2026-05-01 02:23:12,479 [MCA-SWEEP] INFO -   CT offset 490000: 2000 records, 11 new MCA leads
2026-05-01 02:23:15,027 [MCA-SWEEP] INFO -   CT offset 492000: 2000 records, 19 new MCA leads
2026-05-01 02:23:17,606 [MCA-SWEEP] INFO -   CT offset 494000: 2000 records, 44 new MCA leads
2026-05-01 02:23:19,905 [MCA-SWEEP] INFO -   CT offset 496000: 2000 records, 33 new MCA leads
2026-05-01 02:23:22,429 [MCA-SWEEP] INFO -   CT offset 498000: 2000 records, 30 new MCA leads
